"State","AverageTemperature","Pop"
"Florida","22.3000",21992985
"Alaska","26.6000",734002
"North Dakota","40.4000",761723
"Maine",41,1345790
"Minnesota","41.2000",5700671
"Wyoming",42,567025
"Montana","42.7000",1086759
"Vermont","42.9000",628061
"Wisconsin","43.1000",5851754
"New Hampshire","43.8000",1371246
"Idaho","44.4000",1826156
"Michigan","44.4000",10045029
"Colorado","45.1000",5845526
"South Dakota","45.2000",903027
"New York","45.4000",19440469
"Iowa","47.8000",3179849
"Massachusetts","47.9000",6976597
"Washington","48.3000",7797095
"Oregon","48.4000",4301089
"Utah","48.6000",3282115
"Nebraska","48.8000",1952570
"Pennsylvania","48.8000",12820878
"Connecticut",49,3563077
"Nevada","49.9000",3139658
"Rhode Island","50.1000",1056161
"Ohio","50.7000",11747694
"Indiana","51.7000",6745354
"Illinois","51.8000",12659682
"West Virginia","51.8000",1778070
"New Jersey","52.7000",8936574
"New Mexico","53.4000",2096640
"Maryland","54.2000",6083116
"Kansas","54.3000",2910357
"Missouri","54.6000",6169270
"Virginia","55.1000",8626207
"Delaware","55.3000",982895
"Kentucky","55.6000",4499692
"Tennessee","57.6000",6897576
"North Carolina",59,10611862
"California","59.4000",39937489
"Oklahoma","59.6000",3954821
"Arizona","60.3000",7378494
"Arkansas","60.4000",3038999
"South Carolina","62.4000",5210095
"Alabama","62.8000",4908621
"Mississippi","63.4000",2989260
"Georgia","63.5000",10736059
"Texas","64.8000",29472295
"Louisiana","66.4000",4645184
"Hawaii",70,1412687
